radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
bewid,2023-05-03T18:00:00Z,4400,-0.3965328335762024,0.025563091039657593,-0.9979766607284546,0.39735597372055054,273.68853759765625,1.2603697776794434,FALSE,2.5683393478393555,0.0,-21.47147560119629,-21.248306274414062,82,6317,82,6414,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4400,-1.715343952178955,0.8143584728240967,-1.5369765758514404,1.898837685585022,295.39599609375,2.15869140625,FALSE,2.6147189140319824,0.23770171403884888,-21.393749237060547,-21.393749237060547,72,6404,72,6404,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4600,-0.513466477394104,-0.49755585193634033,-0.342976450920105,0.7149892449378967,225.90159606933594,1.19243323802948,FALSE,6.16599702835083,0.0,-17.667964935302734,-17.667964935302734,87,4246,87,4246,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4600,0.06518116593360901,-0.9586199522018433,-0.651411235332489,0.9608333706855774,176.11016845703125,1.0675444602966309,FALSE,10.927010536193848,0.0,-15.182985305786133,-14.881123542785645,85,4176,86,4235,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4600,-0.4103422462940216,-0.258308082818985,-2.1298298835754395,0.48487505316734314,237.809814453125,1.0310511589050293,FALSE,8.80638313293457,0.0,-16.120023727416992,-16.120023727416992,73,4217,73,4217,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,4.405932903289795,0.400539368391037,-19.127620697021484,-19.127620697021484,53,3538,53,3538,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,5.149411678314209,0.4681283235549927,-18.450422286987305,-18.450422286987305,60,3543,60,3543,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,4800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,6.873309135437012,0.6248462796211243,-17.196340560913086,-17.196340560913086,56,3539,56,3539,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:15:00Z,0,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181500Z_0xb.h5
bewid,2023-05-03T18:15:00Z,0,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T182000Z_0xb.h5
bewid,2023-05-03T18:15:00Z,0,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T182500Z_0xb.h5
bewid,2023-05-03T18:15:00Z,200,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181500Z_0xb.h5
bewid,2023-05-03T18:15:00Z,200,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T182000Z_0xb.h5
bewid,2023-05-03T18:15:00Z,200,,,,,,,TRUE,,,,,0,0,0,0,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T182500Z_0xb.h5
